model_name,paper_title,bibtex_key,publication_year,publication_type,venue,authors,first_author,doi,doi_url,paper_url,github_repositories,github_repository_roles,other_code_repositories,categories,secondary_tags,summary,citation_count_openalex_2026_08_06,word_cloud_weight,task_context_transfer_status,task_context_transfer_evidence,task_unseen_genetic_status,task_unseen_genetic_evidence,task_unseen_chemical_status,task_unseen_chemical_evidence,task_genetic_combinations_status,task_genetic_combinations_evidence,task_genetic_combinations_datasets,task_chemical_combinations_status,task_chemical_combinations_evidence,task_chemical_combinations_datasets,scperturbench_context_transfer_evaluated,scperturbench_unseen_genetic_evaluated,scperturbench_unseen_chemical_evaluated,scperturbench_genetic_combinations_evaluated,scperturbench_chemical_combinations_evaluated,local_pdf_path,local_markdown_path,local_text_path,bibliography_source,paper_yaml_path,inventory_selection_rule,inventory_source_notebook
PerturbODE,Interpretable Neural ODEs for Gene Regulatory Network Discovery under Perturbations,perturbODE,2025,misc,arXiv,"Lin, Zaikang and Chang, Sei and Zweig, Aaron and Azizi, Elham and Knowles, David A.","Lin, Zaikang",10.48550/arXiv.2501.02409,https://doi.org/10.48550/arXiv.2501.02409,https://doi.org/10.48550/arXiv.2501.02409,https://github.com/daklab/PerturbODE,https://github.com/daklab/PerturbODE (reproducibility),,model_paper,perturbation_response_modeling; single_cell_rna_seq,,0,1.0,not_established,Available local metadata does not establish this capability.,not_established,Available local metadata does not establish this capability.,not_established,Available local metadata does not establish this capability.,not_established,Available local metadata does not establish this capability.,,not_established,Available local metadata does not establish this capability.,,False,False,False,False,False,metrics-db/pdfs/perturbODE.pdf,metrics-db/extracted_markdown/perturbODE.md,,metrics-db/bib/papers.bib,metrics-db/data/papers/perturbODE.yaml,Notebook word-cloud filter: category=model_paper; tags include perturbation_response_modeling and single_cell_rna_seq; notebook exclusions applied,notebooks/metric_benchmark_correlations_dataframe.ipynb
PerturbPFN,PerturbPFN: Probing the Limits of Synthetic Priors in Drug Perturbation Modelling,perturbPFN,2026,misc,arXiv,"Gao, Yuche and Hern\'andez-Lobato, José Miguel and Guo, Siyuan","Gao, Yuche",10.48550/arXiv.2607.23447,https://doi.org/10.48550/arXiv.2607.23447,https://doi.org/10.48550/arXiv.2607.23447,,,,model_paper,perturbation_response_modeling; single_cell_rna_seq,,0,1.0,not_established,Available local metadata does not establish this capability.,not_established,Available local metadata does not establish this capability.,explicit_paper_claim,Paper explicitly targets cellular responses to unseen chemical perturbations.,not_established,Available local metadata does not establish this capability.,,not_established,Available local metadata does not establish this capability.,,False,False,False,False,False,,metrics-db/extracted_markdown/perturbPFN.md,,metrics-db/bib/papers.bib,metrics-db/data/papers/perturbPFN.yaml,Notebook word-cloud filter: category=model_paper; tags include perturbation_response_modeling and single_cell_rna_seq; notebook exclusions applied,notebooks/metric_benchmark_correlations_dataframe.ipynb
PRESAGE,Gene-Embedding-Based Prediction and Functional Evaluation of Perturbation Expression Responses with PRESAGE,presage,2025,article,bioRxiv,"Littman, Russell and Levine, Jacob and Maleki, Sepideh and Lee, Yongju and Ermakov, Vladimir and Qiu, Lin and Wu, Alexander and Huang, Kexin and Lopez, Romain and Scalia, Gabriele and Biancalani, Tommaso and Richmond, David and Regev, Aviv and Hütter, Jan-Christian","Littman, Russell",10.1101/2025.06.03.657653,https://doi.org/10.1101/2025.06.03.657653,https://doi.org/10.1101/2025.06.03.657653,https://github.com/genentech/PRESAGE,https://github.com/genentech/PRESAGE (official|primary),,model_paper; metric_paper,perturbation_response_modeling; single_cell_rna_seq,,6,2.94591015,not_established,Available local metadata does not establish this capability.,explicit_paper_claim,Paper explicitly predicts unseen single-gene perturbations.,not_established,Available local metadata does not establish this capability.,not_established,Available local metadata does not establish this capability.,,not_established,Available local metadata does not establish this capability.,,False,False,False,False,False,metrics-db/pdfs/presage.pdf,metrics-db/extracted_markdown/presage.md,metrics-db/extracted_text/presage.txt,metrics-db/bib/papers.bib,metrics-db/data/papers/presage.yaml,Notebook word-cloud filter: category=model_paper; tags include perturbation_response_modeling and single_cell_rna_seq; notebook exclusions applied,notebooks/metric_benchmark_correlations_dataframe.ipynb
PRESCRIBE,PRESCRIBE: Predicting Single-Cell Responses with Bayesian Estimation,prescribe,2025,article,arXiv,"Cheng, Jiabei and Chi, Changxi and Zhou, Jingbo and Xin, Hongyi and Xia, Jun","Cheng, Jiabei",10.48550/arXiv.2510.07964,https://doi.org/10.48550/arXiv.2510.07964,https://doi.org/10.48550/arXiv.2510.07964,https://github.com/Bunnybeibei/PRESCRIBE,https://github.com/Bunnybeibei/PRESCRIBE (official),,model_paper,perturbation_response_modeling; single_cell_rna_seq,,0,1.0,not_established,Available local metadata does not establish this capability.,scope_only,"Paper addresses genetic perturbations, but local metadata does not establish held-out-perturbation evaluation.",not_established,Available local metadata does not establish this capability.,not_established,Available local metadata does not establish this capability.,,not_established,Available local metadata does not establish this capability.,,False,False,False,False,False,metrics-db/pdfs/prescribe.pdf,metrics-db/extracted_markdown/prescribe.md,metrics-db/extracted_text/prescribe.txt,metrics-db/bib/papers.bib,metrics-db/data/papers/prescribe.yaml,Notebook word-cloud filter: category=model_paper; tags include perturbation_response_modeling and single_cell_rna_seq; notebook exclusions applied,notebooks/metric_benchmark_correlations_dataframe.ipynb
PRiMeFlow,PRiMeFlow: Capturing Complex Expression Heterogeneity in Perturbation Response Modelling,primeflow,2026,misc,arXiv,"Yan, Zichao and Wu, Yan and Ji, Mica Xu and Agrahar, Chaitra and Wershof, Esther and Nassar, Marcel and Sadria, Mehrshad and Eksi, Ridvan and Trifonov, Vladimir and Ibarra, Ignacio and Felgueira, Telmo and Osi\'nski, B\la\.zej and Stark, Rory","Yan, Zichao",10.48550/arXiv.2604.13986,https://doi.org/10.48550/arXiv.2604.13986,https://doi.org/10.48550/arXiv.2604.13986,,,,model_paper,perturbation_response_modeling; single_cell_rna_seq,,0,1.0,not_established,Available local metadata does not establish this capability.,not_established,Available local metadata does not establish this capability.,scope_only,"Paper addresses chemical perturbations, but local metadata does not establish held-out-perturbation evaluation.",not_established,Available local metadata does not establish this capability.,,not_established,Available local metadata does not establish this capability.,,False,False,False,False,False,,metrics-db/extracted_markdown/primeflow.md,,metrics-db/bib/papers.bib,metrics-db/data/papers/primeflow.yaml,Notebook word-cloud filter: category=model_paper; tags include perturbation_response_modeling and single_cell_rna_seq; notebook exclusions applied,notebooks/metric_benchmark_correlations_dataframe.ipynb
PRnet,Predicting Transcriptional Responses to Novel Chemical Perturbations Using Deep Generative Model for Drug Discovery,prNet,2024,article,Nature Communications,"Qi, Xiaoning and Zhao, Lianhe and Tian, Chenyu and Li, Yueyue and Chen, Zhen-Lin and Huo, Peipei and Chen, Runsheng and Liu, Xiaodong and Wan, Baoping and Yang, Shengyong and Zhao, Yi","Qi, Xiaoning",10.1038/s41467-024-53457-1,https://doi.org/10.1038/s41467-024-53457-1,https://doi.org/10.1038/s41467-024-53457-1,,,,model_paper,perturbation_response_modeling; single_cell_rna_seq,,64,5.17438727,explicit_paper_claim,"Paper reports prediction across novel compounds, pathways, and cell lines.",not_established,Available local metadata does not establish this capability.,benchmark_evaluated,Evaluated on unseen chemical perturbations in scPerturBench.,not_established,Available local metadata does not establish this capability.,,benchmark_evaluated,evaluated on chemical combinations in scPerturBench.,sciPlex3-comb,False,False,True,False,True,,,,metrics-db/bib/papers.bib,metrics-db/data/papers/prNet.yaml,Notebook word-cloud filter: category=model_paper; tags include perturbation_response_modeling and single_cell_rna_seq; notebook exclusions applied,notebooks/metric_benchmark_correlations_dataframe.ipynb
Probability-of-Hit,Many Needles in a Haystack: Active Hit Discovery for Perturbation Experiments,rubbiManyNeedlesHaystack2026,2026,misc,arXiv,"Rubbi, Andrea and Merchant, Arpit and Ogden, Samuel and Akbarnejad, Amir and Li\`o, Pietro and Vakili, Sattar and Lotfollahi, Mo","Rubbi, Andrea",10.48550/arXiv.2605.10196,https://doi.org/10.48550/arXiv.2605.10196,https://doi.org/10.48550/arXiv.2605.10196,,,,model_paper,perturbation_response_modeling; single_cell_rna_seq,,0,1.0,not_established,Available local metadata does not establish this capability.,scope_only,"Paper addresses genetic perturbations, but local metadata does not establish held-out-perturbation evaluation.",not_established,Available local metadata does not establish this capability.,not_established,Available local metadata does not establish this capability.,,not_established,Available local metadata does not establish this capability.,,False,False,False,False,False,metrics-db/pdfs/rubbiManyNeedlesHaystack2026.pdf,metrics-db/extracted_markdown/rubbiManyNeedlesHaystack2026.md,,metrics-db/bib/papers.bib,metrics-db/data/papers/rubbiManyNeedlesHaystack2026.yaml,Notebook word-cloud filter: category=model_paper; tags include perturbation_response_modeling and single_cell_rna_seq; notebook exclusions applied,notebooks/metric_benchmark_correlations_dataframe.ipynb
Rhaister,Back to Basics: Observed Statistics Are Sufficient to Predict Drug Responses,rhaister,2026,misc,Genomics,"Svensson, Valentine and Khan, Umair and Heydari, Hamed and Ubas, Airol A. and Thomas, Nicole and Merico, Daniele and Goodarzi, Hani and Yu, John and Alidoust, Nima and Gandhi, Shreshth","Svensson, Valentine",10.64898/2026.06.09.731197,https://doi.org/10.64898/2026.06.09.731197,https://doi.org/10.64898/2026.06.09.731197,,,,model_paper; dataset_paper,perturbation_response_modeling; single_cell_rna_seq,,0,1.0,explicit_paper_claim,Paper claims zero-shot drug-response prediction in new cellular contexts.,scope_only,"Paper addresses genetic perturbations, but local metadata does not establish held-out-perturbation evaluation.",scope_only,"Paper addresses chemical perturbations, but local metadata does not establish held-out-perturbation evaluation.",not_established,Available local metadata does not establish this capability.,,not_established,Available local metadata does not establish this capability.,,False,False,False,False,False,,,,metrics-db/bib/papers.bib,metrics-db/data/papers/rhaister.yaml,Notebook word-cloud filter: category=model_paper; tags include perturbation_response_modeling and single_cell_rna_seq; notebook exclusions applied,notebooks/metric_benchmark_correlations_dataframe.ipynb
SALT & PEPER,Season Combinatorial Intervention Predictions with Salt & Peper,saltPeper,2024,article,arXiv,"Gaudelet, Thomas and Vecchio, Alice Del and Carrami, Eli M and Cudini, Juliana and Kapourani, Chantriolnt-Andreas and Uhler, Caroline and Edwards, Lindsay","Gaudelet, Thomas",10.48550/arxiv.2404.16907,https://doi.org/10.48550/arxiv.2404.16907,https://doi.org/10.48550/arxiv.2404.16907,,,,model_paper,perturbation_response_modeling; single_cell_rna_seq,,4,2.60943791,not_established,Available local metadata does not establish this capability.,not_established,Available local metadata does not establish this capability.,not_established,Available local metadata does not establish this capability.,directly_evaluated,Paper evaluates held-out combinatorial genetic interventions under in- and out-of-distribution splits.,Norman2019; Wessels2023,not_established,Available local metadata does not establish this capability.,,False,False,False,False,False,metrics-db/pdfs/saltPeper.pdf,metrics-db/extracted_markdown/saltPeper.md,metrics-db/extracted_text/saltPeper.txt,metrics-db/bib/papers.bib,metrics-db/data/papers/saltPeper.yaml,Notebook word-cloud filter: category=model_paper; tags include perturbation_response_modeling and single_cell_rna_seq; notebook exclusions applied,notebooks/metric_benchmark_correlations_dataframe.ipynb
SAMS-VAE,Modelling Cellular Perturbations with the Sparse Additive Mechanism Shift Variational Autoencoder,samsVAE,2023,inproceedings,Advances in Neural Information Processing Systems 36,"Bereket, Michael and Karaletsos, Theofanis","Bereket, Michael",,,https://proceedings.neurips.cc/paper_files/paper/2023/hash/0001ca33ba34ce0351e4612b744b3936-Abstract-Conference.html,https://github.com/insitro/sams-vae,https://github.com/insitro/sams-vae (official),,model_paper,perturbation_response_modeling; single_cell_rna_seq,,8,3.19722458,not_established,Available local metadata does not establish this capability.,not_established,Available local metadata does not establish this capability.,not_established,Available local metadata does not establish this capability.,not_established,Available local metadata does not establish this capability.,,not_established,Available local metadata does not establish this capability.,,False,False,False,False,False,metrics-db/pdfs/samsVAE.pdf,metrics-db/extracted_markdown/samsVAE.md,metrics-db/extracted_text/samsVAE.txt,metrics-db/bib/papers.bib,metrics-db/data/papers/samsVAE.yaml,Notebook word-cloud filter: category=model_paper; tags include perturbation_response_modeling and single_cell_rna_seq; notebook exclusions applied,notebooks/metric_benchmark_correlations_dataframe.ipynb
scBIG,Beyond Independent Genes: Learning Module-Inductive Representations for Gene Perturbation Prediction,scBIG,2026,misc,arXiv,"Ruan, Jiafa and Quan, Ruijie and Yang, Zongxin and Xu, Liyang and Yang, Yi","Ruan, Jiafa",10.48550/arXiv.2602.04901,https://doi.org/10.48550/arXiv.2602.04901,https://doi.org/10.48550/arXiv.2602.04901,,,,model_paper,perturbation_response_modeling; single_cell_rna_seq,,0,1.0,not_established,Available local metadata does not establish this capability.,explicit_paper_claim,Paper explicitly evaluates unseen and combinatorial genetic perturbations.,not_established,Available local metadata does not establish this capability.,directly_evaluated,Paper evaluates unseen dual-gene combinations under additive and held-out-gene splits.,Norman2019,not_established,Available local metadata does not establish this capability.,,False,False,False,False,False,metrics-db/pdfs/scBIG.pdf,metrics-db/extracted_markdown/scBIG.md,,metrics-db/bib/papers.bib,metrics-db/data/papers/scBIG.yaml,Notebook word-cloud filter: category=model_paper; tags include perturbation_response_modeling and single_cell_rna_seq; notebook exclusions applied,notebooks/metric_benchmark_correlations_dataframe.ipynb
scCausalVI,scCausalVI Disentangles Single-Cell Perturbation Responses with Causality-Aware Generative Model,sccausalvi,2025,article,Cell Systems,"An, Shaokun and Cho, Jae-Won and Cao, Kai and Xiong, Jiankang and Hemberg, Martin and Wan, Lin","An, Shaokun",10.1016/j.cels.2025.101443,https://doi.org/10.1016/j.cels.2025.101443,https://doi.org/10.1016/j.cels.2025.101443,https://github.com/ShaokunAn/scCausalVI-reproducibility,https://github.com/ShaokunAn/scCausalVI-reproducibility (reproducibility),,model_paper,perturbation_response_modeling; single_cell_rna_seq,,3,2.38629436,not_established,Available local metadata does not establish this capability.,not_established,Available local metadata does not establish this capability.,not_established,Available local metadata does not establish this capability.,not_established,Available local metadata does not establish this capability.,,not_established,Available local metadata does not establish this capability.,,False,False,False,False,False,metrics-db/pdfs/sccausalvi.pdf,metrics-db/extracted_markdown/sccausalvi.md,,metrics-db/bib/papers.bib,metrics-db/data/papers/sccausalvi.yaml,Notebook word-cloud filter: category=model_paper; tags include perturbation_response_modeling and single_cell_rna_seq; notebook exclusions applied,notebooks/metric_benchmark_correlations_dataframe.ipynb
scCBGM,scCBGM: Interpretable Single-Cell Counterfactual Editing,scCBGM,2026,misc,arXiv,"Andersson, Alma and Ismail, Aya Abdelsalam and Brouwer, Edward De and Haviv, Doron and Biancalani, Tommaso and Cho, Kyunghyun and Scalia, Gabriele and BenTaieb, A\""icha and Bravo, Hector Corrada","Andersson, Alma",10.48550/arXiv.2606.07760,https://doi.org/10.48550/arXiv.2606.07760,https://doi.org/10.48550/arXiv.2606.07760,,,https://anonymous.4open.science/r/mlgenx-sccbgm,model_paper,perturbation_response_modeling; single_cell_rna_seq,,0,1.0,not_established,Available local metadata does not establish this capability.,not_established,Available local metadata does not establish this capability.,scope_only,"Paper addresses chemical perturbations, but local metadata does not establish held-out-perturbation evaluation.",not_established,Available local metadata does not establish this capability.,,not_established,Available local metadata does not establish this capability.,,False,False,False,False,False,metrics-db/pdfs/scCBGM.pdf,metrics-db/extracted_markdown/scCBGM.md,metrics-db/extracted_text/scCBGM.txt,metrics-db/bib/papers.bib,metrics-db/data/papers/scCBGM.yaml,Notebook word-cloud filter: category=model_paper; tags include perturbation_response_modeling and single_cell_rna_seq; notebook exclusions applied,notebooks/metric_benchmark_correlations_dataframe.ipynb
SCCVAE,Learning Genetic Perturbation Effects with Variational Causal Inference,scCVAE,2025,article,bioRxiv,"Liu, Emily and Zhang, Jiaqi and Uhler, Caroline","Liu, Emily",10.1101/2025.06.05.657988,https://doi.org/10.1101/2025.06.05.657988,https://doi.org/10.1101/2025.06.05.657988,,,,model_paper,perturbation_response_modeling; single_cell_rna_seq,,1,1.69314718,not_established,Available local metadata does not establish this capability.,scope_only,"Paper addresses genetic perturbations, but local metadata does not establish held-out-perturbation evaluation.",not_established,Available local metadata does not establish this capability.,not_established,Available local metadata does not establish this capability.,,not_established,Available local metadata does not establish this capability.,,False,False,False,False,False,metrics-db/pdfs/scCVAE.pdf,metrics-db/extracted_markdown/scCVAE.md,metrics-db/extracted_text/scCVAE.txt,metrics-db/bib/papers.bib,metrics-db/data/papers/scCVAE.yaml,Notebook word-cloud filter: category=model_paper; tags include perturbation_response_modeling and single_cell_rna_seq; notebook exclusions applied,notebooks/metric_benchmark_correlations_dataframe.ipynb
scDCA,Efficient Fine-Tuning of Single-Cell Foundation Models Enables Zero-Shot Molecular Perturbation Prediction,scDCA,2024,article,arXiv,"Maleki, Sepideh and Huetter, Jan-Christian and Chuang, Kangway V. and Scalia, Gabriele and Biancalani, Tommaso","Maleki, Sepideh",10.48550/arXiv.2412.13478,https://doi.org/10.48550/arXiv.2412.13478,https://doi.org/10.48550/arXiv.2412.13478,,,,model_paper,perturbation_response_modeling; single_cell_rna_seq,,2,2.09861229,not_established,Available local metadata does not establish this capability.,not_established,Available local metadata does not establish this capability.,explicit_paper_claim,Title explicitly states zero-shot molecular perturbation prediction.,not_established,Available local metadata does not establish this capability.,,not_established,Available local metadata does not establish this capability.,,False,False,False,False,False,metrics-db/pdfs/scDCA.pdf,metrics-db/extracted_markdown/scDCA.md,metrics-db/extracted_text/scDCA.txt,metrics-db/bib/papers.bib,metrics-db/data/papers/scDCA.yaml,Notebook word-cloud filter: category=model_paper; tags include perturbation_response_modeling and single_cell_rna_seq; notebook exclusions applied,notebooks/metric_benchmark_correlations_dataframe.ipynb
scDFM,scDFM: Distributional Flow Matching Model for Robust Single-Cell Perturbation Prediction,scDFM,2026,inproceedings,The Fourteenth International Conference on Learning Representations,"Yu, Chenglei and Wang, Chuanrui and Liao, Bangyan and Wu, Tailin","Yu, Chenglei",10.48550/arXiv.2602.07103,https://doi.org/10.48550/arXiv.2602.07103,https://arxiv.org/abs/2602.07103,,,https://anonymous.4open.science/r/scDFM-5DB3,model_paper,perturbation_response_modeling; single_cell_rna_seq,,0,1.0,not_established,Available local metadata does not establish this capability.,not_established,Available local metadata does not establish this capability.,not_established,Available local metadata does not establish this capability.,not_established,Available local metadata does not establish this capability.,,not_established,Available local metadata does not establish this capability.,,False,False,False,False,False,metrics-db/pdfs/scDFM.pdf,metrics-db/extracted_markdown/scDFM.md,metrics-db/extracted_text/scDFM.txt,metrics-db/bib/papers.bib,metrics-db/data/papers/scDFM.yaml,Notebook word-cloud filter: category=model_paper; tags include perturbation_response_modeling and single_cell_rna_seq; notebook exclusions applied,notebooks/metric_benchmark_correlations_dataframe.ipynb
scDisInFact,scDisInFact: Disentangled Learning for Integration and Prediction of Multi-Batch Multi-Condition Single-Cell RNA-Sequencing Data,scDisInFact,2024,article,Nature Communications,"Zhang, Ziqi and Zhao, Xinye and Bindra, Mehak and Qiu, Peng and Zhang, Xiuwei","Zhang, Ziqi",10.1038/s41467-024-45227-w,https://doi.org/10.1038/s41467-024-45227-w,https://doi.org/10.1038/s41467-024-45227-w,,,,model_paper,perturbation_response_modeling; single_cell_rna_seq,,33,4.52636052,benchmark_evaluated,Evaluated in the cellular-context generalization scenario of scPerturBench.,not_established,Available local metadata does not establish this capability.,not_established,Available local metadata does not establish this capability.,not_established,Available local metadata does not establish this capability.,,not_established,Available local metadata does not establish this capability.,,True,False,False,False,False,,,,metrics-db/bib/papers.bib,metrics-db/data/papers/scDisInFact.yaml,Notebook word-cloud filter: category=model_paper; tags include perturbation_response_modeling and single_cell_rna_seq; notebook exclusions applied,notebooks/metric_benchmark_correlations_dataframe.ipynb
scDRP,Single-Cell Disentangled Representations for Perturbation Modeling and Treatment Effect Estimation,sunSinglecellDisentangledRepresentations2026,2026,misc,bioRxiv,"Sun, Jianle and Stojanov, Petar and Zhang, Kun","Sun, Jianle",10.1101/2025.11.21.689783,https://doi.org/10.1101/2025.11.21.689783,https://doi.org/10.1101/2025.11.21.689783,,,,model_paper,perturbation_response_modeling; single_cell_rna_seq,,0,1.0,not_established,Available local metadata does not establish this capability.,not_established,Available local metadata does not establish this capability.,not_established,Available local metadata does not establish this capability.,not_established,Available local metadata does not establish this capability.,,not_established,Available local metadata does not establish this capability.,,False,False,False,False,False,metrics-db/pdfs/sunSinglecellDisentangledRepresentations2026.pdf,metrics-db/extracted_markdown/sunSinglecellDisentangledRepresentations2026.md,,metrics-db/bib/papers.bib,metrics-db/data/papers/sunSinglecellDisentangledRepresentations2026.yaml,Notebook word-cloud filter: category=model_paper; tags include perturbation_response_modeling and single_cell_rna_seq; notebook exclusions applied,notebooks/metric_benchmark_correlations_dataframe.ipynb
scGen,scGen Predicts Single-Cell Perturbation Responses,scGen,2019,article,Nature Methods,"Lotfollahi, Mohammad and Wolf, F. Alexander and Theis, Fabian J.","Lotfollahi, Mohammad",10.1038/s41592-019-0494-8,https://doi.org/10.1038/s41592-019-0494-8,https://doi.org/10.1038/s41592-019-0494-8,https://github.com/theislab/scGen_reproducibility; https://github.com/theislab/scgen; https://github.com/theislab/scgen-reproducibility,https://github.com/theislab/scGen_reproducibility (reproducibility); https://github.com/theislab/scgen (official); https://github.com/theislab/scgen-reproducibility (reproducibility),,model_paper,perturbation_response_modeling; single_cell_rna_seq,,707,7.56244409,benchmark_evaluated,Evaluated in the cellular-context generalization scenario of scPerturBench.,not_established,Available local metadata does not establish this capability.,not_established,Available local metadata does not establish this capability.,not_established,Available local metadata does not establish this capability.,,not_established,Available local metadata does not establish this capability.,,True,False,False,False,False,metrics-db/pdfs/scGen.pdf,metrics-db/extracted_markdown/scGen.md,metrics-db/extracted_text/scGen.txt,metrics-db/bib/papers.bib,metrics-db/data/papers/scGen.yaml,Notebook word-cloud filter: category=model_paper; tags include perturbation_response_modeling and single_cell_rna_seq; notebook exclusions applied,notebooks/metric_benchmark_correlations_dataframe.ipynb
scGenePT,scGenePT: Is Language All You Need for Modeling Single-Cell Perturbations?,scGenePT,2024,article,bioRxiv,"Istrate, Ana-Maria and Li, Donghui and Karaletsos, Theofanis","Istrate, Ana-Maria",10.1101/2024.10.23.619972,https://doi.org/10.1101/2024.10.23.619972,https://doi.org/10.1101/2024.10.23.619972,https://github.com/bowang-lab/scGPT,https://github.com/bowang-lab/scGPT (mentioned_in_paper),,model_paper,perturbation_response_modeling; single_cell_rna_seq,,12,3.56494936,not_established,Available local metadata does not establish this capability.,scope_only,"Paper addresses genetic perturbations, but local metadata does not establish held-out-perturbation evaluation.",not_established,Available local metadata does not establish this capability.,not_established,Available local metadata does not establish this capability.,,not_established,Available local metadata does not establish this capability.,,False,False,False,False,False,metrics-db/pdfs/scGenePT.pdf,metrics-db/extracted_markdown/scGenePT.md,metrics-db/extracted_text/scGenePT.txt,metrics-db/bib/papers.bib,metrics-db/data/papers/scGenePT.yaml,Notebook word-cloud filter: category=model_paper; tags include perturbation_response_modeling and single_cell_rna_seq; notebook exclusions applied,notebooks/metric_benchmark_correlations_dataframe.ipynb
scGPT,scGPT: Toward Building a Foundation Model for Single-Cell Multi-Omics Using Generative AI,scgpt,2024,article,Nature Methods,"Cui, Haotian and Wang, Chloe and Maan, Hassaan and Pang, Kuan and Luo, Fengning and Duan, Nan and Wang, Bo","Cui, Haotian",10.1038/s41592-024-02201-0,https://doi.org/10.1038/s41592-024-02201-0,https://doi.org/10.1038/s41592-024-02201-0,https://github.com/bowang-lab/scGPT,https://github.com/bowang-lab/scGPT (primary),,model_paper,perturbation_response_modeling; single_cell_rna_seq,Early single-cell foundation model.,1138,8.03790596,not_established,Available local metadata does not establish this capability.,benchmark_evaluated,Evaluated on unseen genetic perturbations in scPerturBench.,not_established,Available local metadata does not establish this capability.,benchmark_evaluated,"Paper evaluates two-gene perturbations with zero, one, or two component genes unseen. Also evaluated across four genetic-combination datasets in scPerturBench.",Norman2019; Wessels2023; Schmidt; Replogle2020,not_established,Available local metadata does not establish this capability.,,False,True,False,True,False,metrics-db/pdfs/scgpt.pdf,metrics-db/extracted_markdown/scgpt.md,metrics-db/extracted_text/scgpt.txt,metrics-db/bib/papers.bib,metrics-db/data/papers/scgpt.yaml,Notebook word-cloud filter: category=model_paper; tags include perturbation_response_modeling and single_cell_rna_seq; notebook exclusions applied,notebooks/metric_benchmark_correlations_dataframe.ipynb
scLAMBDA,Modeling and Predicting Single-Cell Multi-Gene Perturbation Responses with scLAMBDA,scLambda,2024,article,bioRxiv,"Wang, Gefei and Liu, Tianyu and Zhao, Jia and Cheng, Youshu and Zhao, Hongyu","Wang, Gefei",10.1101/2024.12.04.626878,https://doi.org/10.1101/2024.12.04.626878,https://doi.org/10.1101/2024.12.04.626878,https://github.com/gefeiwang/scLAMBDA,https://github.com/gefeiwang/scLAMBDA (official),,model_paper,perturbation_response_modeling; single_cell_rna_seq,,14,3.7080502,not_established,Available local metadata does not establish this capability.,scope_only,"Paper addresses genetic perturbations, but local metadata does not establish held-out-perturbation evaluation.",not_established,Available local metadata does not establish this capability.,directly_evaluated,Paper evaluates multi-gene perturbation response prediction using GEARS-style splits.,Norman2019,not_established,Available local metadata does not establish this capability.,,False,False,False,False,False,metrics-db/pdfs/scLambda.pdf,metrics-db/extracted_markdown/scLambda.md,metrics-db/extracted_text/scLambda.txt,metrics-db/bib/papers.bib,metrics-db/data/papers/scLambda.yaml,Notebook word-cloud filter: category=model_paper; tags include perturbation_response_modeling and single_cell_rna_seq; notebook exclusions applied,notebooks/metric_benchmark_correlations_dataframe.ipynb
Scouter,Scouter Predicts Transcriptional Responses to Genetic Perturbations with Large Language Model Embeddings,scouter,2026,article,Nature Computational Science,"Zhu, Ouyang and Li, Jun","Zhu, Ouyang",10.1038/s43588-025-00912-8,https://doi.org/10.1038/s43588-025-00912-8,https://doi.org/10.1038/s43588-025-00912-8,https://github.com/PancakeZoy/scouter; https://github.com/PancakeZoy/scouter_misc; https://github.com/yiqunchen/GenePT,https://github.com/PancakeZoy/scouter (primary|reproducibility); https://github.com/PancakeZoy/scouter_misc (misc|reproducibility); https://github.com/yiqunchen/GenePT (data_processing),,model_paper,perturbation_response_modeling; single_cell_rna_seq,,8,3.19722458,not_established,Available local metadata does not establish this capability.,benchmark_evaluated,Evaluated on unseen genetic perturbations in scPerturBench.,not_established,Available local metadata does not establish this capability.,benchmark_evaluated,"Paper evaluates two-gene perturbations across seen-2, seen-1, and seen-0 settings. Also evaluated across four genetic-combination datasets in scPerturBench.",Norman2019; Wessels2023; Schmidt; Replogle2020,not_established,Available local metadata does not establish this capability.,,False,True,False,True,False,metrics-db/pdfs/scouter.pdf,metrics-db/extracted_markdown/scouter.md,,metrics-db/bib/papers.bib,metrics-db/data/papers/scouter.yaml,Notebook word-cloud filter: category=model_paper; tags include perturbation_response_modeling and single_cell_rna_seq; notebook exclusions applied,notebooks/metric_benchmark_correlations_dataframe.ipynb
scPerb,scPerb: Predict Single-Cell Perturbation via Style Transfer-Based Variational Autoencoder,scPerb,2025,article,Journal of Advanced Research,"Tang, Zijia and Zhou, Minghao and Zhang, Kai and Song, Qianqian","Tang, Zijia",10.1016/j.jare.2024.10.035,https://doi.org/10.1016/j.jare.2024.10.035,https://doi.org/10.1016/j.jare.2024.10.035,https://github.com/QSong-github/scPerb,https://github.com/QSong-github/scPerb (benchmark),,model_paper,perturbation_response_modeling; single_cell_rna_seq,,4,2.60943791,not_established,Available local metadata does not establish this capability.,not_established,Available local metadata does not establish this capability.,not_established,Available local metadata does not establish this capability.,not_established,Available local metadata does not establish this capability.,,not_established,Available local metadata does not establish this capability.,,False,False,False,False,False,metrics-db/pdfs/scPerb.pdf,metrics-db/extracted_markdown/scPerb.md,,metrics-db/bib/papers.bib,metrics-db/data/papers/scPerb.yaml,Notebook word-cloud filter: category=model_paper; tags include perturbation_response_modeling and single_cell_rna_seq; notebook exclusions applied,notebooks/metric_benchmark_correlations_dataframe.ipynb
